,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Holding Days,Exit Type
42,TSLA,Closed,2012-02-17,17.93,649,22.91,5565.0,99796.352,27713.7,27.77,-15387.0,Take Profit
43,TSLA,Closed,2012-02-22,18.32,650,23.62,5457.0,99987.83,28922.1,28.926,-15392.0,Take Profit
44,TSLA,Closed,2012-03-01,19.45,813,14.81,5107.0,99307.435,-23696.48,-23.862,-15400.0,Stop Loss
45,TSLA,Closed,2012-03-05,19.04,814,14.1,5133.0,97739.658,-25357.02,-25.943,-15404.0,Stop Loss
46,TSLA,Closed,2012-03-15,20.91,781,15.57,4669.0,97642.13,-24932.46,-25.535,-15414.0,Stop Loss
47,TSLA,Closed,2012-03-26,21.68,756,16.66,4668.0,101192.234,-23433.36,-23.157,-15425.0,Stop Loss
48,TSLA,Closed,2012-03-30,21.41,756,16.14,4599.0,98476.089,-24236.73,-24.612,-15429.0,Stop Loss
49,TSLA,Closed,2012-08-06,22.23,750,17.65,4535.0,100830.867,-20770.3,-20.599,-15558.0,Stop Loss
50,TSLA,Closed,2012-08-20,23.76,704,20.3,4307.0,102314.326,-14902.22,-14.565,-15572.0,Stop Loss
51,TSLA,Closed,2012-08-24,23.69,705,19.37,4245.0,100548.887,-18338.4,-18.238,-15576.0,Stop Loss
52,TSLA,Closed,2012-08-27,24.13,705,19.8,4117.0,99349.096,-17826.61,-17.943,-15579.0,Stop Loss
53,TSLA,Closed,2012-08-31,23.76,710,19.12,4196.0,99690.967,-19469.44,-19.53,-15583.0,Stop Loss
54,TSLA,Closed,2012-09-07,24.3,705,19.62,4129.0,100340.603,-19323.72,-19.258,-15590.0,Stop Loss
55,TSLA,Closed,2012-09-10,23.67,710,18.81,4114.0,97375.446,-19994.04,-20.533,-15593.0,Stop Loss
56,TSLA,Closed,2012-09-12,23.92,705,19.61,4198.0,100420.652,-18093.38,-18.018,-15595.0,Stop Loss
57,TSLA,Closed,2012-09-13,24.39,704,20.02,4133.0,100812.728,-18061.21,-17.916,-15596.0,Stop Loss
58,TSLA,Closed,2012-09-17,24.99,701,20.83,4003.0,100043.551,-16652.48,-16.645,-15600.0,Stop Loss
59,TSLA,Closed,2012-09-20,24.95,701,20.87,4004.0,99914.1,-16336.32,-16.35,-15603.0,Stop Loss
60,TSLA,Closed,2012-09-21,25.0,701,21.09,3986.0,99662.811,-15585.26,-15.638,-15604.0,Stop Loss
61,TSLA,Closed,2012-09-28,23.83,710,19.09,4125.0,98278.128,-19552.5,-19.895,-15611.0,Stop Loss
62,TSLA,Closed,2012-10-08,22.79,750,17.4,4328.0,98642.851,-23327.92,-23.649,-15621.0,Stop Loss
63,TSLA,Closed,2012-10-10,22.89,756,17.07,4376.0,100165.077,-25468.32,-25.426,-15623.0,Stop Loss
64,TSLA,Closed,2012-10-25,21.77,782,15.09,4516.0,98310.092,-30166.88,-30.685,-15638.0,Stop Loss
65,TSLA,Closed,2012-10-26,21.57,813,14.53,4594.0,99099.142,-32341.76,-32.636,-15639.0,Stop Loss
